UserScreenName,UserName,Timestamp,Text,Comments,Likes,Retweets,,,Row Labels,Count of Timestamp
Gate City Podcast,@GateCityPod,29-01-2021,"Episode 1 of the Gate City Podcast is live! Our debut guest is future 
@NCATAGGIES
 hall of famer 
, Mr Ti$A hat, Damon Martin. D-Mart shares some of his memories from A&T and his go to spots when he’s back in the 
@greensborocity
. Lets goo! 

https://podcasts.apple.com/us/podcast/ep-1-ft-damon-martin-im-proud-of-you-guys/id1548040495?i=1000504748671…",1,1,2,,,,
அன்புக்கரசன்,@Anbukarasanc,29-01-2021,"*DO YOU KNOW???*

*India's Second-Largest Retailer is TASMAC.*

 At a revenue of ₹31,157cr ($4.3B) and 7000+ outlets, it comes a distant second to Reliance Retail. And ahead of D-Mart which is at ₹24,930cr ($3.5B).
                                     (1/3)",1,1,1,,,,
PEACE,@Breakouts14,29-01-2021,"The day u see products of 
@ITCCorpCom
  in D-mart u need to get bullish on",,,,,,,
Dilip Rangwani,@ItsRDil,29-01-2021,"पापा लोग भी कभी-कभी unexpected चीजें करते हैं 
 आज D-mart से शॉपिंग करते वक्त...बिकाजी भुजिया देखा और वहाँ खड़े उनके executive से पूछा, “ ये तो टेस्ट मैच है न, वन डे कहाँ हैं ? 

उसने पूछा :- सर क्या ? मैं समझा नहीं
पापा :- अरे भाई ये 1kg है न, 500g पूछ रहा था 
 @SrBachchan",5,2,15,,,,
Harshad Madhu,@harshad_madhu,30-01-2021,"કેટલાક ને દુખતું હોય પેટ પણ એ પોતાનું માથું ફૂટતા હોય..

જેમકે, જોરની ઠંડીમાં નહાવાની હિંમત ના થાય ત્યારે કહે ""D-Mart માંથી લાવેલા Lux સાબુથી મારે નથી ન્હાવું જાઓ.."" આવું કહીને આખો દિવસ ન્હાય નહિ, ભૈ'સાબ...!
(તારી ભલી થાય ચમના, Lux સાબુ બધે એકજેવા જ હોયને)
#હસ_લો",1,,8,,,,
"rakshithpai.com
.",@Iam_MrPai,31-01-2021,"D-Mart is a mix of Wallmart (In terms of business) and Berkshire Hathaway (In terms of management)

I believe in the company. And, investing for long term (15+ years).

Just note that you premium. But, see that the premium isn't much.",,,,,,,
Sana Qureshi,@sa1_na1,03-02-2021,"ये लड़ाई #MSP vs #MRP की है 
एक D-mart में मक्का (भुट्टा) #MRP 45₹ है जो किसान इसे रात दिन मेहनत कर के उगाता है उसकी फसल पर #MSP ना होने के कारण इसका 1₹ भी नहीं मिल पाता तो #किसान अपना हक मांग रहा है #खैरात नहीं.....
#FarmersProtest",,1,2,,,,
D-Mart,@DMartSupport,04-02-2021,"We are very strict when it comes to safety of our shoppers. The mask being sold must be of good quality and worth Rs 50. If not, Kindly, share the image and details. We advise you not to enter D-Mart store without masks, and cooperate with our staff.",3,,1,,,,
Dheeraj chaudhari,@Dheeerrrr,05-02-2021,Going for grocery shopping to D-mart is so therapeutic.,,1,7,,,,
AP Skill Development,@AP_Skill,05-02-2021,"#Press Clippings on Recruitment Drive to be Conducted in D-Mart, #Vijayawada",,3,12,,,,
Dine-in Stories,@dineinstories,05-02-2021,"1/4: Restaurant/Outlet Name : Arabian Nights

Address : Sector 5, Next to Neel Vardhaman Society, Behind D-mart, New Panvel - 410206

Launch date : 9th January 2021

Best sellers on the menu : Shawarma, Burger and Mojito",1,3,5,,,,
Almond,@PrimeLocatio_n,05-02-2021,"D-Mart's Radhakishan Damani to acquire 8-acre Thane plot from Mondelez https://realty.economictimes.indiatimes.com/news/industry/d-marts-radhakishan-damani-to-acquire-8-acre-thane-plot-from-mondelez/80108551… via 
@Realty_Et",,,1,,,,
Harshini (Maaya),@Aaromalearvindh,06-02-2021,Discussing frozen chapathi in d-mart was a thing. Feb 4 2021,,,,,,,
Nihit Parikh,@maskabun_chai,06-02-2021,"My parents love D-mart so much that sometimes I think they'll leave me for a 40% discount on all FMCG products.
#consumermarkets #fmcg #dmart #parents #discounts",1,1,1,,,,
Dhruv Sridhar,@dhruvsridhar,07-02-2021,Saw this in D-Mart and instinctively started singing.,,1,5,,,,
Nandini⁷,@NandiniBts,08-02-2021,"Why not in big bazar, more , d-mart, or any other fcuking mall in indiaaaaaa !!??",,,,,,,
Pramodkumar Patil,@pramopatil29,09-02-2021,"Fact of the day - The great banyan tree of Kolkata is so massive (156,000 sq. feet) that it is over 3 times bigger than an average D-Mart store (46,000 sq. feet).",,,2,,,,
G.jogar,@g_jogar,09-02-2021,"Fact of the day
The great banyan tree of Kolkata is so massive (156,000 sq. feet) that it is over 3 times bigger than an average D-Mart store (46,000 sq. feet)

FOLLOW FOR MORE AMAZING FACTS",,,1,,,,
Gyan Tokri,@Gyan_Tokri,09-02-2021,"The great banyan tree of Kolkata is so massive (156,000 sq. feet) that it is over 3 times bigger than an average D-Mart store (46,000 sq. feet)
#factoftheday",,,,,,,
Apssdc Krishna District,@apssdckrishna,10-02-2021,"Successfully completed #Skill_Connect_Drive on 09-Feb-2021 at D-Mart, Gudivada #Krishna_District",,,4,,,,
ruta,@baateinvaatein,10-02-2021,D-Mart date,1,,1,,,,
Sankalp Group Jaipur,@sankalp_builder,11-02-2021,"Shops, Showrooms & Office Spaces avilable on rent at Haldighati Gate, Adjoining D-MART, Main Tonk Road, Jaipur.

To know more, Call : 8824-444-666 or Visit at https://sankalpbuilders.com/project/sankalp-therise/…",,,,,,,
Punishh̶er ➢➣ MI,@Abhixplorer2,12-02-2021,Lucky wo hote jinke ghar ke saamne D-Mart hota hai,2,,2,,,,
SHO GOLCONDA,@shogolconda,13-02-2021,"Sri K Chandrashekar Reddy, SHO along with Golconda PS officers conducting Vehicle checking at Shaikpet D-Mart Check Post",4,9,94,,,,
NFAPost,@NfaPost,13-02-2021,"It shopping spree..scenes from D-Mart, Siddhapura, #Bengaluru.... IT professional, other workers are back to #city. Hope #biz will flourish like pre-Covid period
@nasscom
 @CIIEIndia
 @ficci_india
 @ASSOCHAM4India
 @IAMAIForum
 @IESA
 @siamindia
 @PMOIndia
 @investindia
 @investkarnataka",,,,,,,
Kans Capital - Mind the Gap,@KansCapital,15-02-2021,"D-Mart m-cap crosses Rs 2 trillion; zooms 49%+ in 3 months.

Sandip Sabharwal quoted as saying “It is madness what is happening in DMart. It’s not a business justifying a 100 P/E as its a linear growth business. No valuation model can justify such prices.”
#dmart #nifty #nifty50",1,1,,,,,
ఇత్తడి చెంబు - Ithadi Chembu,@EthadiChembu,15-02-2021,"Men’s D-Mart 
#HyderabadMuchhatlu",,,3,,,,
ఇత్తడి చెంబు - Ithadi Chembu,@EthadiChembu,15-02-2021,"Men’s D-Mart 
#HyderabadMuchhatlu",,,3,,,,
Abhijit Ray,@coolab2010,17-02-2021,D-Mart -is Hiring Manufacturing Production Operation Managers,,,,,,,
Crwe World,@CrweWorld,17-02-2021,Hot Stocks: LT Finance and D-Mart are the top 2 buy ideas for the next 3-4 weeks; here#39;s why http://crweworld.com/india/trendingnow/news/1887809/hot-stocks-lt-finance-and-d-mart-are-the-top-2-buy-ideas-for-the-next-3-4-weeks-here39s-why…,,,,,,,
Raja Housing Ltd.,@rajahousingblr,19-02-2021,"Book Your Dream  2 & 4 BHK @ near D-Mart , Mathuru Layout , Yelahanka New town .Bangalore
For More Details Contact :9590 779 922 https://rajahousingltd.com/projects/2bhk-sale-near-yelahanka… 
#rajahousingltd,#rajamelrose,#Yelahanka,#bangalore",,,,,,,
SAHITYA,@Sahityasavita,19-02-2021,"Hot Stocks: D-Mart, NCC and SBI are the top 3 buy ideas for short-term; here's why 
@moneycontrolcom",,,,,,,
Tarun Bangera,@tbangera,19-02-2021,"Returned ""Emperor Zahidi"" dates bought from 
@DMartSupport
  Chandivali store on 18Feb. Shocked to see lots of insects inside the airtight packet. Will 
@fssaiindia
 take any action on d quality of food and storage? Reported to d-mart and now awaiting reply.",,4,1,,,,
PropertyWala.com,@propertiesindia,19-02-2021,Lavish ready to move #Flat #ForSale upto 95% bank finance near #HingnaRoad d-mart #2BHK #Apartment #Nagpur #Residential #Property,,,,,,,
PropertyWala.com,@propertiesindia,21-02-2021,#1BHK IN SREE SHASWAT COMPLEX OPP D-MART AND BRAND FECTORY. #Apartment #Flat #ForSale #MiraBhayandarRoad #Mumbai #Residential #Property,,1,,,,,
真希ナルセ（マキ）,@gin2rou,21-02-2021,"SUZURIさんにてエコバックのセールが開催中です！
エコバッグ用の新しい絵柄は、架空のスーパーマーケット「SHIBA-Mart（シバマート）」と「D-Mart（ダックスマート）」レジ袋という設定でデザインしてみました。おバカっぽくてお気に入りです。
https://suzuri.jp/makinaru
#suzurijp",1,13,42,,,,
rajabhat,@bajpebhat,22-02-2021,"Answer to What are the reasons why D-Mart is profitable while other retail chains are dealing with losses? by 
@SushangAgnihoti",,,,,,,
遊映(Yue)推しと絵師&書き手様が尊い@終活中,遊映(Yue)推しと絵師&書き手様が尊い@終活中,22-02-2021,"D-MART　01（クロ） エコバッグを買ったよ。 
@gin2rou
 #suzuri https://suzuri.jp/makinaru/6169478/reusable-bag/m/white…
届くのが楽しみーーーっ⁽⁽٩(๑˃̶͈̀ ᗨ ˂̶͈́)۶⁾⁾",,1,1,,,,
真希ナルセ（ナルセ）,@makinaru,23-02-2021,"SUZURIさんにてエコバックのセールが開催中です！

新デザイン、架空のスーパーマーケット「D-Mart（ダックスマート）」のレジ袋以外にも人気の絵柄をエコバッグにしましたので覗きに来てください
https://suzuri.jp/makinaru

#suzuri 
#SUZURIのエコバッグセール",,2,11,,,,
Harsh Yaan,@dazzler_Yaan,24-02-2021,"D-MART   ""Jhagirabad""
ON SUNDAY",,,1,,,,
So Called Dentist(Halla Bol),@dentist_so,24-02-2021,"I bought that pasta from D-Mart,thinking that it must b gr8 on taste (becoz name of TATA) but unfortunately it tasted yuck...
Never going to buy any packed ready to eat food from them...
I just hope they don't merge it with Tata Consumer...",,,1,,,,
Mangalam Maloo,@blitzkreigm,25-02-2021,"JUST DIAL +20% 

The way Just Dial is moving, it looks like they’ve launched D-mart, not JD Mart",9,14,215,,,,
Essar,@Essar91279107,25-02-2021,"#badlapur city road conditions are better than last year but only problem is the paver block are not in level with the concrete road everywhere. Need Railway over bridge at Badlapur west D-mart which can reduce traffic of station road. 
@healthkbmc
 #Badlapur #ambarnath   #kbmc",,,,,,,
The Wrong Person,@iprathmeshs,27-02-2021,So this man at D-mart was buying condoms like it's Illegal ,,,,,,,
जिग्नेश गांधी,@gandhi_jg,27-02-2021,I always purchase online & from D-mart & I feel after GST implementation prices of most of the goods have gone down. I am feeling the Govt before 2014 was looting people. In 2010 I purchased a property at a very high rate due to high inflation by over currency printing by PC.,,,,,,,
Mayank Jindal (TC),@MJ_007Club,27-02-2021,D-Mart in Ahmedabad. Best place. Satellite wali branch.,,1,2,,,,
সিদ্ধার্থ (Siddhartha),@quinoa_biryani,28-02-2021,"A reminder that if you come across a video of me throwing a 20 minute tantrum after getting ejected from the local D-Mart for wearing a powder blue children's tuxedo, it's a deepfake created by my enemies.",1,,6,,,,
Sumithnagamalla2222,@Indiantxtrovert,28-02-2021,"Agree or not, D-Mart is a type of exhibition for middle class people.",1,,7,,,,
#ਮੈ_ਕਿਸਾਨ_ਹਾਂ,@lakhwindr_r1,01-03-2021,"ਦੁਸ਼ਮਨ ਵੀ ਅੜਨ ਵਾਲਿਆਂ ਦੇ ਹੀ ਬਣਦੇ ਆ, ਦੋਗਲਿਆ ਦੇ ਤਾ ਸਾਰੇ ਯਾਰ ਹੀ ਹੁੰਦੇ ਨੇ. @ D-Mart https://instagram.com/p/CL3gLpcnUkY/?igshid=1r54iw4m6fiqw…",,,,,,,
Cycle Chain Sankar,@dakuwithchaku,02-03-2021,Corporate culture is like showing each item to be bought from D-Mart as a separate project ,1,,4,,,,
Cycle Chain Sankar,@dakuwithchaku,03-03-2021,I think he's never visited D-Mart ,3,2,5,,,,
Ida V. Eskamani,@ida_v_e,03-03-2021,"Congratulations to 
@Danmartinez305
 on your new gig with the Libre Initiative!! We are often on opposite sides of the debate, but damn is he a good hire. He is also a gem of a human, an amazing friend & brilliant at what he does. Congrats D-Mart. 
 #GoodPeopleCaucus",,2,15,,,,
Anirban Ghosh,@Anirban91091527,03-03-2021,"We can talk about interest rates n inflation as much as we want..but the fact is market is ready to give them the high valuation..why to fight?? People talking about interest rates, will sit on sidelines and see the valuation rise each yr just like D-Mart!!",1,,1,,,,
Cycle Chain Sankar,@dakuwithchaku,03-03-2021,I think he's never visited D-Mart ,3,2,5,,,,
,@divvsssss,04-03-2021,D-MART dates are the best! ,,,1,,,,
Guru - Medical Translator/Learning मराठी & Cooking,@KamathGurudutt,05-03-2021,"Shopping Cart Theory

I always, always make sure I return the cart or make sure it is not in anyone's way.

At D-Mart Kandivali...carts are scattered around. I make sure I put them in order....and see that they do not inconvenience anybody.",,1,1,,,,
PropertyWala.com,@propertiesindia,05-03-2021,opposite d-Mart Near beltrodi police station PLOTS COMMERCAIL #ResidentialPlot #Land #ForSale #Beltarodi #Nagpur #Residential #Property,,,,,,,
rushika,@akihsur,06-03-2021,"all my fuck capitalism goes outta window in d-mart. Two pairs of shorts for 150? get 4 pkts of biscuits free over 2 big pkts of chips?? 6 knives for 250??? HELLS YEA 
i am the worst",2,,9,,,,
Raja Housing Ltd.,@rajahousingblr,06-03-2021,"Book Your Dream  2 & 4 BHK @ behind D-Mart , Mathuru Layout , Yelahanka New town .Bangalore
For More Details Contact :9590 779 922 https://rajahousingltd.com/projects/2bhk-sale-near-yelahanka… 
#rajahousingltd,#rajamelrose,#Yelahanka,#bangalore",,,,,,,
Hyderabadi $@!,Hyderabadi $@!,07-03-2021,"Goes to D-Mart 

Cashier - is that all ? 
Me - no I need 1 lakh cash too",1,,5,,,,
Juanita,@Juanitakseth,07-03-2021,"I wonder how I'm going to learn driving, like mujhse d-mart wali trolly nahi sambhali jaati without almost bumping into someone.",,,2,,,,
Ramesh Raktade,@r_raktade,07-03-2021,"मुंबईकरांनो D-mart मध्ये खरेदी करताना लक्ष ठेवा...

#बॅन_हलाल_प्रॉडक्ट #BanHalalProducts",,18,22,,,,
Bpatil जय श्री राम,@Bpatil32289121,07-03-2021,"हिंदूंनो D-mart / शाँपींग माँल मध्ये खरेदी करताना सावधान...
हलाला सर्टिफिकेट चे पैसे कोणाला मिळतात याची माहिती घ्या .
हलाला लोगो असलेल्या वस्तु खरेदी करु नका .
#बॅन_हलाल_प्रॉडक्ट #BanHalalProducts",,,1,,,,
Manish parmar,@MnshParmar1,08-03-2021,"The great banyan tree of Kolkata is so massive (156,000 sq. feet) that it is over 3 times bigger than an average D-Mart store (46,000 sq. feet)
Source: Culture Trip",,,,,,,
Anubhav,@dactersaab,09-03-2021,Hey bro.. Yo D-Mart just casually droppin' them नि-bombs yo! ,1,,3,,,,
Bring It On,@TigersBloodCell,09-03-2021,"No it's 955 ₹ in D-mart 

985₹ if you buy it from other grocery shop",,,,,,,
nakulsoftyjoshii,@glitteryfartss,09-03-2021,D-mart is actually short for Dick Mart and thats why i will never go there because I don’t want to buy any dicks.,,,,,,,
Dev Shah,@devshah22598,11-03-2021,"D-Mart too 
@tapak7",,,,,,,
Israel_Liz_22,@Israel_Lizma_7,13-03-2021,"What a play let's go D-Mart. 
@TNXLAcademy",,3,5,,,,
SmitalSolanki,@smital_solanki,13-03-2021,"Since years the Harshad-Somnath road has not been renewed, only patch work is done. Requesting for a fresh road. Opposite Bapunagar D-Mart 
@AMC_Complaints
 @DyMC_EZ
 @Nitinbhai_Patel
 @vijayrupanibjp
 @nitin_gadkari
 @PMOIndia
 @AmdavadAMC",2,1,2,,,,
Israel_Liz_22,@Israel_Lizma_7,13-03-2021,"What a play let's go D-Mart. 
@TNXLAcademy",,3,5,,,,
Babu/Shona,@Pareshaan_aatma,14-03-2021,"Kya blunder hua hai bc aaj 
I randomly picked up this Nivea Lip Balm from D-Mart because the Himalaya one was not available. As it turns out, this mfer is worth 185 Rs and not the usual 35 Rs that a lip balm should be 
And the balm itself is red colored and not transparent ",13,,9,,,,
𝑾𝒆𝒂𝒍𝒕𝒉 𝑬𝒏𝒓𝒊𝒄𝒉 : ➶➶ Stock Investing ➶➶,@WealthEnrich,15-03-2021,"Ace #investors #portfolio 
If I had to pick one stock each from their #StockPicks it would be : 

1. D-Mart (Top mass retailer) 
2. Escorts (excellent Rural play)
3. Edelweiss (fast growing NBFC) 
4. Cera Sanitary (Home products play)

Folks : What #stocks would you pick ? ",10,43,222,,,,
APLA,@teamapla,15-03-2021,Y'day we got a call from a person relating dog issue that near D-mart. Keshav nagari some people stolen dogs15-20 days puppies & sell them. So he called APLA to slove this issue. Today morning APLA team reached there and sloved the case.,,,2,,,,
TOI Plus,@TOIPlus,19-03-2021,#Kalyan: D-Mart's six staff members test positive for #COVID19; store shut. #ICYMI,1,5,11,,,,
BHARGAVI REDDY,@BHARGAV30273971,19-03-2021,"HMDA & RERA PROPOSAL PROJECT AT MIYAPUR NEAR D-MART| HMT SWARNAPURI COLONY HYDERABAD

PRICE: RS-4500/- PER SQ YARD

FOR MORE DETAILS CONTACT US...+91-9014888700",,,,,,,
Vivek,@Pacinolegacy,19-03-2021,D-mart ke share ki tarah badh raha ye to,1,,18,,,,
Mumbai Tez News,@mumbaitez,19-03-2021,"#Kalyan: D-MART'S SIX STAFF MEMBERS TEST POSITIVE FOR #Covid; STORE SHUT

The incident took place at the #BailBazaar branch of D-Mart in #Kalyan, #Thane

#coronavirus
#Maharashtra #dmart 
@humansofkalyan
 @DombivliCentYT
 @AmhiDombivlikar
 @dombivliwest
 @LimbuMirchi
 @WeAreDombivli",,3,2,,,,
Cycle Chain Sankar,@dakuwithchaku,20-03-2021,Garlic Bread. Do buy this masala in case u wanna make instant masala garlic bread type stuff. Available @ D-Mart,1,2,3,,,,
Cutie Rottie,@RaviGM511,20-03-2021,"Check in D-Mart bro, 24-26/kg",1,,3,,,,
Harsh Rana,@IAmHarshRana,20-03-2021,"પબ્લિક ને બુદ્ધિ સરકાર આપશે.?
D-mart માં ભીડ થાય તો તંત્ર જવાબદાર.!
તંત્ર 1 સમય એ બધે પોહચી જાય.!
મેચ જોવા લોકો એમની મરજી થી ગયા સરકાર હાથ પકડી ને નોહતી લઈ ગઈ. 
@RJdevaki
 તમે દેશ ભલે ન ચલાવતા હોવ પણ લોકો એમની મરજી નું કરે છે.
આવો ક્યારેક ઇસનપુર-વટવા ખબર પડે. એની માટે સરકાર ને દોષ.",1,,,,,,
Ameya,@ameya4mPune,21-03-2021,"HDFC giving 5% CB for shopping at D-Mart till 31st March. 
Link: https://offers.smartbuy.hdfcbank.com/offer_details/16980…",2,,3,,,,
Aman Thakur,@iamofficialaman,21-03-2021,"Just posted a photo @ D-Mart, Jaipur https://instagram.com/p/CMr2mzNhJ-b/?igshid=17e1xa2txs73v…",,,,,,,
shreya⁷❀,@jungkootonin,21-03-2021,and when i run into jungkook at d-mart,1,,4,,,,
खऱी - खोटी™,@kharikhotii,21-03-2021,"जिस दिन D-Mart में बीयर मिलनी चालू होगी
वो दिन भारत विकसित देश कहलाएगा ।",,,,,,,
Swa-pun-il,@alec_bingeman,22-03-2021,"One of my faculty used to always insult the D-mart's owner, unaware of the fact that the Owner's nephew used to study in our class ",1,,8,,,,
Thane Times,@TimesThane,22-03-2021,"Kalyan: D-Mart's six staff members test positive for COVID-19; store shut - Mumbai Mirror http://twib.in/l/jp7yGM9ojAA8 via 
@TimesThane
 #ThaneNews #News",,,,,,,
Ashok Kumar Reddy Kambham,@Ashok_Reddy_K,23-03-2021,Ippudu Anantapur d-mart ki vellamani cheppalenu ma intlo. Tirupati d-mart try cheyamantaava Anna?,,,,,,,
For A Better Vizag,@ForABetterVizag,24-03-2021,"Dear 
@vizagcitypolice
 and 
@GVMC_OFFICIAL
 we have observed that some service roads don't have street lights. The are very dark and can be unsafe for women and night commuters. 

As of now, the service roads that start from R&B building towards D-Mart. 

We will identify more.",1,1,11,,,,
E-Cell IBSM,@Ecell_IBSM,25-03-2021,"From growing up in one-room flat in Mumbai to finding out India's one of the largest retail chain stores D-Mart. Suffering huge losses to being one of the richest men in India. Mr. Radhakishan Damani's story definitely teaches us a lot of lessons. 
#TBT #ThursdayThoughts",,1,14,,,,
Felix Dominic Rodrigues,@FelixDominicRo1,26-03-2021,"#dmart

Check out this article: Andheri's D-Mart store found flouting COVID-19 norms; store to remain shut till the end of pandemic -",,,,,,,
Malakpet Diaries,@MalakpetD,26-03-2021,"Installation of reflectors, rumble strips & speed-breakers designed to restrain high speeds and decrease road accidents is very much needed opp to  D-Mart, Rice Mill  Malakpet. To be precise road towards  Akbarbagh 
@HYDTP
 @arvindkumar_ias",,,,,,,
THE VILLAIN™,@NBKzealot_,26-03-2021,"సూరీడు....D-Mart దగ్గరే ఉన్నా... ఆఫీస్ కి టైం అయ్యింది.. వెళ్తున్నా సూరీడు 
@Manojkumarsayz",3,,,,,,
dishay¹²,@sjhwnace,28-03-2021,"mfs give them space, in Korean they let you enter airport for no fuckin reason and here they didn't allow me to enter the d-mart bcos we're in pandemic? ",1,1,4,,,,
dishay¹²,@sjhwnace,28-03-2021,"mfs give them space, in Korean they let you enter airport for no fuckin reason and here they didn't allow me to enter the d-mart bcos we're in pandemic? ",1,1,4,,,,
Sayyad Waseem,@iamwaseem_s,30-03-2021,"YE TO LOOT RAHE HO
SUPER COIN KE NAAM SE

ITNA RATE HADD HAI

LAST TIME MAINE D-MART SE 20 Rs Per piece liya tha

#byecott 
#Flipkart 
@flipkartsupport",1,,,,,,
Shashikant Kore,@kshashi,30-03-2021,"Last evening, around 6:30 PM, there was queue with about 100 people outside D-Mart Aundh. 

We should not have 8 PM restriction on essential businesses.",,,3,,,,
Pawan Thakur,@pawannthakur,31-03-2021,All this fuss and I am holding 20 shares of D-MART since eternity. ,4,,28,,,,
